Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,,,,,,,,,,,,,,,,,,
USA,MD,2020,12,Female,17,Right-Handed,154,23,57,4,Car,5,0.34,46,Dancing,900,800,750,750,900,900,23,Same length,64,76,Ring finger,February,Winter,,,,,,,,,,,,,,,,,,
USA,MD,2021,12,Male,17,Right-Handed,180,,,3,Car,10,,,Soccer,500,500,500,500,1000,1000,,Same length,,,Same length,May,Winter,,,,,,,,,,,,,,,,,,
USA,MD,2019,12,Male,17,Right-Handed,191,28,193,2,Car,10,0.291,34,Football (American),1000,1000,1000,1000,1000,1000,29,Left foot,100,106,Ring finger,April,Fall,,,,,,,,,,,,,,,,,,
USA,MD,2020,12,Female,17,Ambidextrous,157.5,23.8,idk,3,Car,6,0.594,44,Other,1000,1000,497,492,0,1000,,Left foot,,,Ring finger,January,Fall,,,,,,,,,,,,,,,,,,
USA,MD,2020,12,Male,18,Right-Handed,173,27.3,,2,Car,8,0.502,47,Baseball/Softball,1000,1000,668,500,590,670,27.1,,,,Ring finger,December,Summer,,,,,,,,,,,,,,,,,,
USA,MD,2021,12,Male,17,Ambidextrous,185,27,176,2,Car,6,0.359,44,Baseball/Softball,781,749,834,540,952,690,27,Same length,85,94,Ring finger,January,Summer,,,,,,,,,,,,,,,,,,
USA,MD,2021,12,Female,17,Right-Handed,160,22,61,4,Car,20,0.325,42,Soccer,818,337,840,1000,529,829,22,Same length,70,84,Ring finger,April,Fall,,,,,,,,,,,,,,,,,,
USA,MD,2020,12,Female,18,Left-Handed,170,18,165,2,Car,12,0.427,36,Walking/Hiking,1000,711,690,337,610,615,18,Same length,76,73,Index finger,September,Spring,,,,,,,,,,,,,,,,,,
USA,MD,2019,12,Male,17,Right-Handed,184,29,77,1,Bus,15,0.33,51,Other,1000,1000,813,775,797,807,184,Same length,80,90,Index finger,January,Winter,,,,,,,,,,,,,,,,,,
USA,MD,2020,12,Female,17,Left-Handed,170,24,65,1,Car,15,0.474,43,Walking/Hiking,1000,1000,1000,1000,500,500,23,Right foot,100,,,January,Summer,,,,,,,,,,,,,,,,,,
