Name,Team,Position,Height,Weight,Age
Adam_Donachie,BAL,C,74,180,22.99
Paul_Bako,BAL,C,74,215,34.69
Ramon_Hernandez,BAL,C,72,210,30.78
Kevin_Millar,BAL,1B,72,210,35.43
Chris_Gomez,BAL,1B,73,188,35.71
Brian_Roberts,BAL,2B,69,176,29.39
Miguel_Tejada,BAL,SS,69,209,30.77
Melvin_Mora,BAL,3B,71,200,35.07
Aubrey_Huff,BAL,3B,76,231,30.19
Adam_Stern,BAL,OF,71,180,27.05
Jeff_Fiorentino,BAL,OF,73,188,23.88
Freddie_Bynum,BAL,OF,73,180,26.96
Nick_Markakis,BAL,OF,74,185,23.29
Brandon_Fahey,BAL,OF,74,160,26.11
Corey_Patterson,BAL,OF,69,180,27.55
Jay_Payton,BAL,OF,70,185,34.27
Jay_Gibbons,BAL,DH,72,197,30
Erik_Bedard,BAL,Starting_P,73,189,27.99
Hayden_Penn,BAL,Starting_P,75,185,22.38
Adam_Loewen,BAL,Starting_P,78,219,22.89
Daniel_Cabrera,BAL,Starting_P,79,230,25.76
Steve_Trachsel,BAL,Starting_P,76,205,36.33
Jaret_Wright,BAL,Starting_P,74,230,31.17
Kris_Benson,BAL,Starting_P,76,195,32.31
Scott_Williamson,BAL,Relief_P,72,180,31.03
John_Parrish,BAL,Relief_P,71,192,29.26
Danys_Baez,BAL,Relief_P,75,225,29.47
Chad_Bradford,BAL,Relief_P,77,203,32.46
Jamie_Walker,BAL,Relief_P,74,195,35.67
Brian_Burres,BAL,Relief_P,73,182,25.89
Kurt_Birkins,BAL,Relief_P,74,188,26.55
James_Hoey,BAL,Relief_P,78,200,24.17
Sendy_Rleal,BAL,Relief_P,73,180,26.69
Chris_Ray,BAL,Relief_P,75,200,25.13
Jeremy_Guthrie,BAL,Relief_P,73,200,27.9
A.J._Pierzynski,CWS,C,75,245,30.17
Toby_Hall,CWS,C,75,240,31.36
Paul_Konerko,CWS,1B,74,215,30.99
Tadahito_Iguchi,CWS,2B,69,185,32.24
Juan_Uribe,CWS,SS,71,175,27.61
Alex_Cintron,CWS,SS,74,199,28.2
Joe_Crede,CWS,3B,73,200,28.85
Josh_Fields,CWS,3B,73,215,24.21
Ryan_Sweeney,CWS,OF,76,200,22.02
